Titel,Werktitel,Übersetzter Titel,Autor*in,Mitwirkende/r,Digitalisat,Inhaltstyp,Hochschulschrift,Inhaltstyp,Inhalt,Beschreibung,Verknüpfte Titel,Anmerkungen,Serie,Verlag,Erschienen,Verlauf,Ausgabe,Nachdruck,Format,Häufigkeit,Sprache,Gebunden mit,Rechte,Thema,MESH Schlagwörter,Klassifikation,Ist enthalten in,Kursinformationen,Anmerkungen,Anmerkungen,Thema,Identifikator,Lokale Signatur,Quelle,Link
Trajectory mapping through channel state information by triangulation method and fine-tuning,,,"Abuhoureyah, Fahd   Wong, Yan Chiew   Mohd Isira, Ahmad Sadhiqin",,,,,,,"Trajectory mapping techniques have widespread applications in diverse fields, including robotics, localization, smart environments, gaming, and tracking systems. However, existing free devices encounter challenges in representing trajectories, thereby limiting the effectiveness of applications such as robotics, localization, and tracking systems. The imprecise mappings generated by these methods lead to suboptimal performance and unreliable results. The proposed approach leverages WiFi sensing through channel state information (CSI), triangulation techniques, and a fine-tuning mechanism to enhance trajectory precision within indoor environment trajectory mapping. The proposed solution employs a domain adapter fine-tuning technique to enable location-independent tracking via CSI, minimizing errors. The use of CSI MIMO signals for trajectory mapping offers enhanced spatial resolution, robust multipath handling, and improved accuracy in tracking movement by leveraging multiple antenna channels and exploiting the rich information embedded in signal reflections and scattering, while triangulation aids in accurately determining the location of objects or targets. Furthermore, incorporating a fine-tuning mechanism refines the generated trajectories. The findings demonstrate substantial enhancements in mapping precision, with an accuracy of 95.5% in tracking 13 paths within the new domain. These results underscore the effectiveness of the proposed approach in overcoming the limitations of existing methods and achieving highly accurate trajectory mapping.",,,,Berlin/Heidelberg: Springer Berlin Heidelberg,,,,,,,Englisch,,"The Author(s) 2024 The Author(s) 2024. This work is published under http://creativecommons.org/licenses/by/4.0/ (the “License”). Notwithstanding the ProQuest Terms and Conditions, you may use this content in accordance with the terms of the License.",Adaptation    Algorithms    Civil engineering    Electrical engineering    Engineering    Engineering mathematics    Estimates    Mechanical engineering    Methodology    Methods    Propagation    Research    Robotics    Triangulation,,,"Journal of engineering and applied science (Online), 2024-12, Vol.71 (1), p.196-36, Article 196",,,,,ISSN: 1110-1903 ISSN: 2536-9512 EISSN: 2536-9512 DOI: 10.1186/s44147-024-00531-6,,DOAJ,https://fu-berlin.primo.exlibrisgroup.com/permalink/49KOBV_FUB/dm8bhl/cdi_proquest_journals_3112984138
Trajectory mapping through channel state information by triangulation method and fine-tuning,,,"Abuhoureyah, Fahd   Wong, Yan Chiew   Mohd Isira, Ahmad Sadhiqin",,,,,,,"Trajectory mapping techniques have widespread applications in diverse fields, including robotics, localization, smart environments, gaming, and tracking systems. However, existing free devices encounter challenges in representing trajectories, thereby limiting the effectiveness of applications such as robotics, localization, and tracking systems. The imprecise mappings generated by these methods lead to suboptimal performance and unreliable results. The proposed approach leverages WiFi sensing through channel state information (CSI), triangulation techniques, and a fine-tuning mechanism to enhance trajectory precision within indoor environment trajectory mapping. The proposed solution employs a domain adapter fine-tuning technique to enable location-independent tracking via CSI, minimizing errors. The use of CSI MIMO signals for trajectory mapping offers enhanced spatial resolution, robust multipath handling, and improved accuracy in tracking movement by leveraging multiple antenna channels and exploiting the rich information embedded in signal reflections and scattering, while triangulation aids in accurately determining the location of objects or targets. Furthermore, incorporating a fine-tuning mechanism refines the generated trajectories. The findings demonstrate substantial enhancements in mapping precision, with an accuracy of 95.5% in tracking 13 paths within the new domain. These results underscore the effectiveness of the proposed approach in overcoming the limitations of existing methods and achieving highly accurate trajectory mapping.",,,,Berlin/Heidelberg: Springer Berlin Heidelberg,,,,,,,Englisch,,"The Author(s) 2024 The Author(s) 2024. This work is published under http://creativecommons.org/licenses/by/4.0/ (the “License”). Notwithstanding the ProQuest Terms and Conditions, you may use this content in accordance with the terms of the License.",Adaptation    Algorithms    Civil engineering    Electrical engineering    Engineering    Engineering mathematics    Estimates    Mechanical engineering    Methodology    Methods    Propagation    Research    Robotics    Triangulation,,,"Journal of engineering and applied science (Online), 2024-12, Vol.71 (1), p.196-36, Article 196",,,,,ISSN: 1110-1903 ISSN: 2536-9512 EISSN: 2536-9512 DOI: 10.1186/s44147-024-00531-6,,EZB,https://fu-berlin.primo.exlibrisgroup.com/permalink/49KOBV_FUB/dm8bhl/cdi_proquest_journals_3112984138
Trajectory mapping through channel state information by triangulation method and fine-tuning,,,"Abuhoureyah, Fahd   Wong, Yan Chiew   Mohd Isira, Ahmad Sadhiqin",,,,,,,"Trajectory mapping techniques have widespread applications in diverse fields, including robotics, localization, smart environments, gaming, and tracking systems. However, existing free devices encounter challenges in representing trajectories, thereby limiting the effectiveness of applications such as robotics, localization, and tracking systems. The imprecise mappings generated by these methods lead to suboptimal performance and unreliable results. The proposed approach leverages WiFi sensing through channel state information (CSI), triangulation techniques, and a fine-tuning mechanism to enhance trajectory precision within indoor environment trajectory mapping. The proposed solution employs a domain adapter fine-tuning technique to enable location-independent tracking via CSI, minimizing errors. The use of CSI MIMO signals for trajectory mapping offers enhanced spatial resolution, robust multipath handling, and improved accuracy in tracking movement by leveraging multiple antenna channels and exploiting the rich information embedded in signal reflections and scattering, while triangulation aids in accurately determining the location of objects or targets. Furthermore, incorporating a fine-tuning mechanism refines the generated trajectories. The findings demonstrate substantial enhancements in mapping precision, with an accuracy of 95.5% in tracking 13 paths within the new domain. These results underscore the effectiveness of the proposed approach in overcoming the limitations of existing methods and achieving highly accurate trajectory mapping.",,,,Berlin/Heidelberg: Springer Berlin Heidelberg,,,,,,,Englisch,,"The Author(s) 2024 The Author(s) 2024. This work is published under http://creativecommons.org/licenses/by/4.0/ (the “License”). Notwithstanding the ProQuest Terms and Conditions, you may use this content in accordance with the terms of the License.",Adaptation    Algorithms    Civil engineering    Electrical engineering    Engineering    Engineering mathematics    Estimates    Mechanical engineering    Methodology    Methods    Propagation    Research    Robotics    Triangulation,,,"Journal of engineering and applied science (Online), 2024-12, Vol.71 (1), p.196-36, Article 196",,,,,ISSN: 1110-1903 ISSN: 2536-9512 EISSN: 2536-9512 DOI: 10.1186/s44147-024-00531-6,,ROAD,https://fu-berlin.primo.exlibrisgroup.com/permalink/49KOBV_FUB/dm8bhl/cdi_proquest_journals_3112984138
Trajectory mapping through channel state information by triangulation method and fine-tuning,,,"Abuhoureyah, Fahd   Wong, Yan Chiew   Mohd Isira, Ahmad Sadhiqin",,,,,,,"Trajectory mapping techniques have widespread applications in diverse fields, including robotics, localization, smart environments, gaming, and tracking systems. However, existing free devices encounter challenges in representing trajectories, thereby limiting the effectiveness of applications such as robotics, localization, and tracking systems. The imprecise mappings generated by these methods lead to suboptimal performance and unreliable results. The proposed approach leverages WiFi sensing through channel state information (CSI), triangulation techniques, and a fine-tuning mechanism to enhance trajectory precision within indoor environment trajectory mapping. The proposed solution employs a domain adapter fine-tuning technique to enable location-independent tracking via CSI, minimizing errors. The use of CSI MIMO signals for trajectory mapping offers enhanced spatial resolution, robust multipath handling, and improved accuracy in tracking movement by leveraging multiple antenna channels and exploiting the rich information embedded in signal reflections and scattering, while triangulation aids in accurately determining the location of objects or targets. Furthermore, incorporating a fine-tuning mechanism refines the generated trajectories. The findings demonstrate substantial enhancements in mapping precision, with an accuracy of 95.5% in tracking 13 paths within the new domain. These results underscore the effectiveness of the proposed approach in overcoming the limitations of existing methods and achieving highly accurate trajectory mapping.",,,,Berlin/Heidelberg: Springer Berlin Heidelberg,,,,,,,Englisch,,"The Author(s) 2024 The Author(s) 2024. This work is published under http://creativecommons.org/licenses/by/4.0/ (the “License”). Notwithstanding the ProQuest Terms and Conditions, you may use this content in accordance with the terms of the License.",Adaptation    Algorithms    Civil engineering    Electrical engineering    Engineering    Engineering mathematics    Estimates    Mechanical engineering    Methodology    Methods    Propagation    Research    Robotics    Triangulation,,,"Journal of engineering and applied science (Online), 2024-12, Vol.71 (1), p.196-36, Article 196",,,,,ISSN: 1110-1903 ISSN: 2536-9512 EISSN: 2536-9512 DOI: 10.1186/s44147-024-00531-6,,Unpaywall,https://fu-berlin.primo.exlibrisgroup.com/permalink/49KOBV_FUB/dm8bhl/cdi_proquest_journals_3112984138
Machine learning and dynamic user interfaces in a context aware nurse application environment,,,"Ham, Nathaniel   Dirin, Amir   Laine, Teemu H.",,,,,,,"The increasing usage of smartphones in daily life has received considerable attention in academic and industry driven research to be utilized in the health sector. There has been development of a variety of health-related smartphone applications. Currently, however, there are few to none applications based on nurses’ historical or behavioral preferences. Mobile application development for the health care sector requires extensive attention to security, reliability, and accuracy. In nursing applications, the users are often required to navigate in hospital environments, select patients to support, read the patient history and set action points to assist the patient during their shift. Finally, they have to report their performance on patient related activities and other relevant information before they leave for the day. In a working day, a nurse often visits different locations such as the patient’s room, different laboratories, and offices for filling reports. There is still a limited capability to access context relevant information on a smartphone with minimal recourse such as Wi-Fi triangulation. The Wi-Fi triangulation signals fluctuate significantly for indoor location positioning. Therefore, providing relevant location based services to a mobile subscriber has become challenging. This paper addresses this gap by applying machine learning and behavior analysis to anticipate the potential location of the nurse and provide the required services. The application concept was already presented at the IMCOM 2015 conference. This paper focuses on the process to ascertain a user’s context, the process of analyzing and predicting user behavior, and finally, the process of displaying the information through a dynamically generated UI.",,,,Berlin/Heidelberg: Springer Berlin Heidelberg,,,,,,,Englisch,,Springer-Verlag Berlin Heidelberg 2016 Springer-Verlag Berlin Heidelberg 2016.,Algorithms    Artificial intelligence    Computational intelligence    Computer science    Context    Cooperation    Data Analysis    Designers    Engineering    Machine learning    Methodology    Methods    Mobile communication systems in education    Mobile computing    Nurses    Smartphones    Technology    Telecommunication    Triangulation    User-Centered Design,,,"Journal of ambient intelligence and humanized computing, 2017-04, Vol.8 (2), p.259-271",,,,,ISSN: 1868-5137 EISSN: 1868-5145 DOI: 10.1007/s12652-016-0384-1,,Web of Science,https://fu-berlin.primo.exlibrisgroup.com/permalink/49KOBV_FUB/dm8bhl/cdi_springer_journals_10_1007_s12652_016_0384_1
Enhancing Indoor Positioning Accuracy using a Hybrid Li-Fi/Wi-Fi System with Deep Learning Support,,,"Mustafa, Zeena   Hamza, Ekhlas Kasam",,,,,,,"This study proposes a new indoor positioning system that utilizes Li-Fi/Wi-Fi technology and the Received Signal Strength (RSS) triangulation method, aided by a Deep Neural Network (DNN) for better system accuracy. The proposed system uses several Light-Emitting Diodes (LEDs) as light emitters and photodetectors as receivers to determine the position of a user in an indoor environment. Photodetectors measure the RSS of a Li-Fi or Wi-Fi signal, which is then used to calculate the distance between the light sources and the user. RSS values are entered into a DL model to improve the accuracy of the positioning system by predicting the location of the user in more detail. The proposed system was experimentally tested and the results show that this method can achieve high positioning accuracy. The main objective of this work was to locate the mobile user within a room equipped with Li-Fi technology and obtain the best possible coverage of service to the user. In the first stage of data simulation, the triangulation technique achieved average errors of 2.174×10-14 cm, 6.450×10-14 cm, and 4.657×10-11 cm for the x, y, and z axes, respectively. This indicates the proximity of the simulation results to the actual ones. In the second stage, when RSS triangulation was applied with noise effects, the average error was 2.060×10-3 cm, 4.565×10-3 cm, and 5.110× 10-3 cm for the x, y, and z axes, respectively. A DL technique was used to handle noise, and the greatest error for the x, y, and z axes was 2.520 cm, 2.260 cm, and 4.230 cm in a 6×4×3 m indoor environment.",,,,,,,,,,,Englisch,,,,,,"Engineering, technology & applied science research, 2025-04, Vol.15 (2), p.21575-21585",,,,,ISSN: 2241-4487 ISSN: 1792-8036 EISSN: 1792-8036 DOI: 10.48084/etasr.10249,,EZB,https://fu-berlin.primo.exlibrisgroup.com/permalink/49KOBV_FUB/dm8bhl/cdi_unpaywall_primary_10_48084_etasr_10249
Enhancing Indoor Positioning Accuracy using a Hybrid Li-Fi/Wi-Fi System with Deep Learning Support,,,"Mustafa, Zeena   Hamza, Ekhlas Kasam",,,,,,,"This study proposes a new indoor positioning system that utilizes Li-Fi/Wi-Fi technology and the Received Signal Strength (RSS) triangulation method, aided by a Deep Neural Network (DNN) for better system accuracy. The proposed system uses several Light-Emitting Diodes (LEDs) as light emitters and photodetectors as receivers to determine the position of a user in an indoor environment. Photodetectors measure the RSS of a Li-Fi or Wi-Fi signal, which is then used to calculate the distance between the light sources and the user. RSS values are entered into a DL model to improve the accuracy of the positioning system by predicting the location of the user in more detail. The proposed system was experimentally tested and the results show that this method can achieve high positioning accuracy. The main objective of this work was to locate the mobile user within a room equipped with Li-Fi technology and obtain the best possible coverage of service to the user. In the first stage of data simulation, the triangulation technique achieved average errors of 2.174×10-14 cm, 6.450×10-14 cm, and 4.657×10-11 cm for the x, y, and z axes, respectively. This indicates the proximity of the simulation results to the actual ones. In the second stage, when RSS triangulation was applied with noise effects, the average error was 2.060×10-3 cm, 4.565×10-3 cm, and 5.110× 10-3 cm for the x, y, and z axes, respectively. A DL technique was used to handle noise, and the greatest error for the x, y, and z axes was 2.520 cm, 2.260 cm, and 4.230 cm in a 6×4×3 m indoor environment.",,,,,,,,,,,Englisch,,,,,,"Engineering, technology & applied science research, 2025-04, Vol.15 (2), p.21575-21585",,,,,ISSN: 2241-4487 ISSN: 1792-8036 EISSN: 1792-8036 DOI: 10.48084/etasr.10249,,ROAD,https://fu-berlin.primo.exlibrisgroup.com/permalink/49KOBV_FUB/dm8bhl/cdi_unpaywall_primary_10_48084_etasr_10249
Enhancing Indoor Positioning Accuracy using a Hybrid Li-Fi/Wi-Fi System with Deep Learning Support,,,"Mustafa, Zeena   Hamza, Ekhlas Kasam",,,,,,,"This study proposes a new indoor positioning system that utilizes Li-Fi/Wi-Fi technology and the Received Signal Strength (RSS) triangulation method, aided by a Deep Neural Network (DNN) for better system accuracy. The proposed system uses several Light-Emitting Diodes (LEDs) as light emitters and photodetectors as receivers to determine the position of a user in an indoor environment. Photodetectors measure the RSS of a Li-Fi or Wi-Fi signal, which is then used to calculate the distance between the light sources and the user. RSS values are entered into a DL model to improve the accuracy of the positioning system by predicting the location of the user in more detail. The proposed system was experimentally tested and the results show that this method can achieve high positioning accuracy. The main objective of this work was to locate the mobile user within a room equipped with Li-Fi technology and obtain the best possible coverage of service to the user. In the first stage of data simulation, the triangulation technique achieved average errors of 2.174×10-14 cm, 6.450×10-14 cm, and 4.657×10-11 cm for the x, y, and z axes, respectively. This indicates the proximity of the simulation results to the actual ones. In the second stage, when RSS triangulation was applied with noise effects, the average error was 2.060×10-3 cm, 4.565×10-3 cm, and 5.110× 10-3 cm for the x, y, and z axes, respectively. A DL technique was used to handle noise, and the greatest error for the x, y, and z axes was 2.520 cm, 2.260 cm, and 4.230 cm in a 6×4×3 m indoor environment.",,,,,,,,,,,Englisch,,,,,,"Engineering, technology & applied science research, 2025-04, Vol.15 (2), p.21575-21585",,,,,ISSN: 2241-4487 ISSN: 1792-8036 EISSN: 1792-8036 DOI: 10.48084/etasr.10249,,Unpaywall,https://fu-berlin.primo.exlibrisgroup.com/permalink/49KOBV_FUB/dm8bhl/cdi_unpaywall_primary_10_48084_etasr_10249
GraphLoc: a graph-based method for indoor subarea localization with zero-configuration,,,"Chen, Yuanyi   Guo, Minyi   Shen, Jiaxing   Cao, Jiannong",,,,,,,"Indoor subarea localization can facilitate numerous location-based services, such as indoor navigation, indoor POI recommendation and mobile advertising. Most existing subarea localization approaches suffer from two bottlenecks, one is fingerprint-based methods require time-consuming site survey and another is triangulation-based methods are lack of scalability. In this paper, we propose a graph-based method for indoor subarea localization with zero-configuration. Zero-configuration means the proposed method can be directly employed in indoor environment without time-consuming site survey or pre-installing additional infrastructure. To accomplish this, we first utilize two unexploited characteristics of WiFi radio signal strength to generate logical floor graph and then formulate the problem of constructing fingerprint map as a graph isomorphism problem between logical floor graph and physical floor graph. In online localization phase, a Bayesian-based approach is utilized to estimate the unknown subarea. The proposed method has been implemented in a real-world shopping mall, and extensive experimental results show that the proposed method can achieve competitive performance comparing with existing methods.",,,,London: Springer London,,,,,,,Englisch,,"Springer-Verlag London 2017 Personal and Ubiquitous Computing is a copyright of Springer, 2017.",Advertising    Bayesian statistical decision theory    Computer science    Methodology    Methods    Mobile computing    Radio    Shopping    Technology    Telecommunication    Triangulation,,,"Personal and ubiquitous computing, 2017-06, Vol.21 (3), p.489-505",,,,,ISSN: 1617-4909 ISSN: 1617-4917 EISSN: 1617-4917 DOI: 10.1007/s00779-017-1011-7,,Unpaywall,https://fu-berlin.primo.exlibrisgroup.com/permalink/49KOBV_FUB/dm8bhl/cdi_proquest_journals_1923215705
GraphLoc: a graph-based method for indoor subarea localization with zero-configuration,,,"Chen, Yuanyi   Guo, Minyi   Shen, Jiaxing   Cao, Jiannong",,,,,,,"Indoor subarea localization can facilitate numerous location-based services, such as indoor navigation, indoor POI recommendation and mobile advertising. Most existing subarea localization approaches suffer from two bottlenecks, one is fingerprint-based methods require time-consuming site survey and another is triangulation-based methods are lack of scalability. In this paper, we propose a graph-based method for indoor subarea localization with zero-configuration. Zero-configuration means the proposed method can be directly employed in indoor environment without time-consuming site survey or pre-installing additional infrastructure. To accomplish this, we first utilize two unexploited characteristics of WiFi radio signal strength to generate logical floor graph and then formulate the problem of constructing fingerprint map as a graph isomorphism problem between logical floor graph and physical floor graph. In online localization phase, a Bayesian-based approach is utilized to estimate the unknown subarea. The proposed method has been implemented in a real-world shopping mall, and extensive experimental results show that the proposed method can achieve competitive performance comparing with existing methods.",,,,London: Springer London,,,,,,,Englisch,,"Springer-Verlag London 2017 Personal and Ubiquitous Computing is a copyright of Springer, 2017.",Advertising    Bayesian statistical decision theory    Computer science    Methodology    Methods    Mobile computing    Radio    Shopping    Technology    Telecommunication    Triangulation,,,"Personal and ubiquitous computing, 2017-06, Vol.21 (3), p.489-505",,,,,ISSN: 1617-4909 ISSN: 1617-4917 EISSN: 1617-4917 DOI: 10.1007/s00779-017-1011-7,,Web of Science,https://fu-berlin.primo.exlibrisgroup.com/permalink/49KOBV_FUB/dm8bhl/cdi_proquest_journals_1923215705
